  File "C:\Users\Korisnik\Desktop\ml_projects\summerizer\TextSummarizer\src\textsummarizer\components\data_transformation.py", line 11, in __init__
    self.tokenizer = AutoTokenizer.from_pretrained(config.tokenizer_name)
                     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Korisnik\anaconda3\Lib\site-packages\transformers\models\auto\tokenization_auto.py", line 1068, in from_pretrained
    return tokenizer_class_fast.from_pretrained(pretrained_model_name_or_path, *inputs, **kwargs)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Korisnik\anaconda3\Lib\site-packages\transformers\tokenization_utils_base.py", line 2014, in from_pretrained
    return cls._from_pretrained(
           ~~~~~~~~~~~~~~~~~~~~^
        resolved_vocab_files,
        ^^^^^^^^^^^^^^^^^^^^^
    ...<9 lines>...
        **kwargs,
        ^^^^^^^^^
    )
    ^
  File "C:\Users\Korisnik\anaconda3\Lib\site-packages\transformers\tokenization_utils_base.py", line 2260, in _from_pretrained
    tokenizer = cls(*init_inputs, **init_kwargs)
  File "C:\Users\Korisnik\anaconda3\Lib\site-packages\transformers\models\pegasus\tokenization_pegasus_fast.py", line 136, in __init__
    super().__init__(
    ~~~~~~~~~~~~~~~~^
        vocab_file,
        ^^^^^^^^^^^
    ...<9 lines>...
        **kwargs,
        ^^^^^^^^^
    )
    ^
  File "C:\Users\Korisnik\anaconda3\Lib\site-packages\transformers\tokenization_utils_fast.py", line 139, in __init__
    fast_tokenizer = convert_slow_tokenizer(self, from_tiktoken=True)
  File "C:\Users\Korisnik\anaconda3\Lib\site-packages\transformers\convert_slow_tokenizer.py", line 1739, in convert_slow_tokenizer
    raise ValueError(
    ...<3 lines>...
    )
ValueError: Converting from SentencePiece and Tiktoken failed, if a converter for SentencePiece is available, provide a model path with a SentencePiece tokenizer.model file.Currently available slow->fast converters: ['AlbertTokenizer', 'BartTokenizer', 'BarthezTokenizer', 'BertTokenizer', 'BigBirdTokenizer', 'BlenderbotTokenizer', 'CamembertTokenizer', 'CLIPTokenizer', 'CodeGenTokenizer', 'ConvBertTokenizer', 'DebertaTokenizer', 'DebertaV2Tokenizer', 'DistilBertTokenizer', 'DPRReaderTokenizer', 'DPRQuestionEncoderTokenizer', 'DPRContextEncoderTokenizer', 'ElectraTokenizer', 'FNetTokenizer', 'FunnelTokenizer', 'GPT2Tokenizer', 'HerbertTokenizer', 'LayoutLMTokenizer', 'LayoutLMv2Tokenizer', 'LayoutLMv3Tokenizer', 'LayoutXLMTokenizer', 'LongformerTokenizer', 'LEDTokenizer', 'LxmertTokenizer', 'MarkupLMTokenizer', 'MBartTokenizer', 'MBart50Tokenizer', 'MPNetTokenizer', 'MobileBertTokenizer', 'MvpTokenizer', 'NllbTokenizer', 'OpenAIGPTTokenizer', 'PegasusTokenizer', 'Qwen2Tokenizer', 'RealmTokenizer', 'ReformerTokenizer', 'RemBertTokenizer', 'RetriBertTokenizer', 'RobertaTokenizer', 'RoFormerTokenizer', 'SeamlessM4TTokenizer', 'SqueezeBertTokenizer', 'T5Tokenizer', 'UdopTokenizer', 'WhisperTokenizer', 'XLMRobertaTokenizer', 'XLNetTokenizer', 'SplinterTokenizer', 'XGLMTokenizer', 'LlamaTokenizer', 'CodeLlamaTokenizer', 'GemmaTokenizer', 'Phi3Tokenizer']
[2026-05-19 22:59:27,048: INFO: main]: stage Data Ingestion stage initiated
[2026-05-19 22:59:27,052: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-19 22:59:27,052: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-19 22:59:27,052: INFO: common]: Directory created at: artifacts
[2026-05-19 22:59:27,052: INFO: common]: Directory created at: artifacts/data_ingestion
[2026-05-19 22:59:27,052: INFO: data_ingestion]: File already exists.
[2026-05-19 22:59:27,052: INFO: data_ingestion]: Unziped file already exists.
[2026-05-19 22:59:27,052: INFO: main]: Stage Data Ingestion stage completed.
[2026-05-19 22:59:27,052: INFO: main]: stage Data Transformation stage initiated
[2026-05-19 22:59:27,059: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-19 22:59:27,059: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-19 22:59:27,061: INFO: common]: Directory created at: artifacts
[2026-05-19 22:59:27,062: INFO: common]: Directory created at: artifacts/data_transformation
[2026-05-19 22:59:27,333: INFO: _client]: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-05-19 22:59:27,356: INFO: _client]: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"
[2026-05-19 22:59:27,516: INFO: _client]: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-05-19 22:59:27,516: WARNING: _http]: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
